epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.275,1.68487,1.43327,1.04819,0.79961,0.69305,0.7538,0.43975,1.57105,1.15785,0.98236,0.000333095,0.000333095,0.000333095
2,665.306,1.61969,1.20843,1.01395,0.81908,0.7167,0.78314,0.4633,1.56217,1.09404,0.99065,0.000653178,0.000653178,0.000653178
3,1027.16,1.59665,1.1916,1.01067,0.85501,0.73152,0.80032,0.46795,1.53823,1.07431,0.98454,0.000959939,0.000959939,0.000959939
4,1374.61,1.58383,1.14919,1.00607,0.87421,0.73761,0.81606,0.48635,1.50278,1.00906,0.97971,0.00125338,0.00125338,0.00125338
5,1764.51,1.57664,1.14886,0.99991,0.84514,0.74157,0.81461,0.48744,1.4836,1.01979,0.96642,0.00153349,0.00153349,0.00153349
6,2128.36,1.56195,1.1233,0.99906,0.85952,0.75389,0.82066,0.50078,1.47186,0.98382,0.97077,0.00150047,0.00150047,0.00150047
7,2456.76,1.52474,1.07297,0.9959,0.87074,0.7609,0.83746,0.5144,1.45528,0.95268,0.95989,0.00146716,0.00146716,0.00146716
8,2800.37,1.514,1.05132,0.98827,0.87208,0.77985,0.84479,0.52025,1.43419,0.94102,0.95314,0.00143385,0.00143385,0.00143385
